statement,justification,label,label_int
"Cybersecurity measures and verifications: Here the focus is on enhancing the security protocols to protect digital infrastructure from being exploited to spread disinformation, as was seen in this case with the ability of Iranian agents using local system to distribute text messages to thousands of mobile phones.","The sentence describes a focus on enhancing cybersecurity protocols in response to a specific incident of disinformation spread by Iranian agents, implying that these actions were executed.",Applied Countermeasure,0
Strengthening cybersecurity protocols to protect against hacking and leaks is effective and a way of addressing similar attacks.,"This sentence evaluates the effectiveness of strengthening cybersecurity protocols, indicating it is an effective measure against attacks.",Countermeasure Effectiveness,1
Cybersecurity measures and verifications:,This is a heading fragment without additional information about countermeasures being applied or recommended.,Non-Countermeasure Related,2
International cooperation: In this case Sweden was likely working with other countries and international organisations to share intelligence and best practices on countering the disinformation around the Quran burnings.,The sentence describes an action that Sweden likely undertook by collaborating internationally to counter disinformation.,Applied Countermeasure,0
"This could also involve collaborative efforts to expose and counteract a state actor’s FIMI campaigns, as well as strengthening trustworthy institutions serving as examples of reliable information and engaging with civil society to ensure a broader spectrum of thoughts, voices and perspectives, making it harder for disinformation to take root.","The sentence suggests possible actions that could be taken to further counter disinformation, but they are not described as having been implemented.",Recommended Countermeasure,3
"Development of counter campaigns and narratives: In response to the FIMI around the Quran burning Swedish agencies developed countering narratives, offering factual alternatives through diverse media channels to encourage critical evaluation and broader perspectives to neutralise the FIMI campaign.",The sentence describes a specific action taken by Swedish agencies to develop narratives and provide factual alternatives.,Applied Countermeasure,0
As noted above this could have been done more thoroughly and extensively across information bubbles and in multiple languages.,The sentence evaluates the effectiveness and suggests that the countermeasures could have been implemented more thoroughly.,Countermeasure Effectiveness,1
"Working with other governments, relevant NGOs, and providing factual accounts of events across various media platforms can ensure wider reach and enhance legitimacy.",The sentence offers a proposed approach that could improve the reach and legitimacy of countermeasures but is not described as having been performed.,Recommended Countermeasure,3
Russian FIMI about the (fabricated) “Lisa” rape case,The sentence identifies a disinformation case but does not describe any countermeasures or responses to it.,Non-Countermeasure Related,2
"No major countermeasures were necessary, as the case quickly resolved itself once the girl's lie was uncovered.","The sentence analyzes the effectiveness of a lack of formal countermeasures, noting that the issue resolved itself.",Countermeasure Effectiveness,1
It can be concluded that the Lisa case served as an example for how easily a whole community can be manipulated by foreign influence.,The sentence provides a general conclusion about the impact of disinformation without detailing any countermeasure actions.,Non-Countermeasure Related,2
"In this case, the language barrier between German state authorities and the parents of Lisa, as well as the inaction of political decision-makers failed to address the worries of the Russo-German community culminating in the interview of the aunt with Russian state media, as she probably thought that German media and authorities didn´t want to help them.","The sentence describes the communication issues and inaction that led to the spread of a narrative, but it does not mention any response or countermeasure.",Non-Countermeasure Related,2
"The following FIMI campaign of the Russian state masterfully used the worries and miscommunication between the Russo-German community and the police to create the picture Germany as a “failing state” which cannot provide security for its citizens, while taking in more and more refugees.","This sentence describes how the Russian state used disinformation, but does not mention any countermeasures or responses.",Non-Countermeasure Related,2
"From here, the goals of the FIMI campaign divert, as right-wing groups inside Germany used the case to undermine the credibility of the German government and push their political agenda.",The sentence describes the goals and outcomes of the disinformation campaign without mentioning any countermeasures.,Non-Countermeasure Related,2
"While undermining the German government certainly was a secondary goal of the Russian side as well, the main goal appeared to create a division between the Russo-German community and the rest of German society.",This sentence analyzes the goals of the disinformation campaign but does not discuss any responses or countermeasures.,Non-Countermeasure Related,2
"This played in the greater strategy of Russia to justify their actions in Crimea, since it served as proof that indeed the Russian ethnic minorities in “the West” are getting suppressed and are in need of “protection” by the Russian state.","The sentence describes a broader strategy behind the disinformation campaign, without mentioning any countermeasures.",Non-Countermeasure Related,2
This instance paints a dark picture about how easy it is to influence wide parts of ethnic communities into believing fake news.,The sentence makes a general observation about the impact of fake news without discussing any countermeasures.,Non-Countermeasure Related,2
"However, the attack quickly collapsed the moment that it became clear that Lisa had made up the story about the rape to cover up her bad grades in school.","This sentence details how the disinformation was counteracted by the truth becoming public, thus directly countering the false narrative.",Applied Countermeasure,0
This leads to the recommendation that a quick and transparent communication in events like this play a key role in preventing and combatting FIMI.,The sentence provides a suggested strategy for preventing disinformation in the future by recommending quick and transparent communication.,Recommended Countermeasure,3
"If the German police and local politicians had acted sooner in communicating the facts and state of the investigation, there is a high possibility that the FIMI attack could have been mitigated.","The sentence assesses the potential effectiveness of a countermeasure that could have been implemented, suggesting that earlier communication could have mitigated the disinformation campaign.",Countermeasure Effectiveness,1
It seems that speed and transparency play a major role in defending against FIMI.,"This sentence suggests a future action, recommending that speed and transparency are important in fighting disinformation.",Recommended Countermeasure,3
Defenders should be trained in quick response actions as well as given a toolbox to easily prepare for such events.,"The sentence proposes training defenders and providing them with resources to prepare for hostile events, which is a suggested action to counteract disinformation, but has not yet been executed.",Recommended Countermeasure,3
Framing the President - How Russia created negative press on a Head of State,"The sentence is a title suggesting an analysis of disinformation efforts by Russia but does not propose, describe, or assess any counteraction.",Non-Countermeasure Related,2
"Open and balanced communication (Finnish Broadcasting Company, YLE), Finland's strong 'own story' born of free social debate.",The sentence describes Finland's communication style and culture without addressing any specific countermeasure to disinformation.,Non-Countermeasure Related,2
"People in high positions, such as heads of state and other high-profile figures, are particularly vulnerable to hostile influence operations.","This sentence analyzes the vulnerability of high-profile figures to influence operations, without proposing or describing any countermeasures.",Non-Countermeasure Related,2
"These operations can take many forms, including misinformation, disinformation and other tactics aimed at manipulating public perception and decision-making processes.",The sentence provides a general description of the forms of influence operations without proposing or describing a specific countermeasure.,Non-Countermeasure Related,2
The susceptibility of these individuals to such operations poses significant risks not only to their personal reputations but also to national security and public trust.,The sentence explains the risks associated with susceptibility but does not describe or suggest any countermeasures.,Non-Countermeasure Related,2
"Therefore, it is crucial to recognise and address the unique challenges faced by those in influential positions to mitigate the potential impact of these hostile actions.","The sentence recommends recognizing and addressing challenges faced by high-profile figures to mitigate hostile actions, which is a suggested action, not yet executed.",Recommended Countermeasure,3
"To counter possible information operations, it is essential for heads of state and other high-profile figures to implement comprehensive strategies focused on media and information protection.","This sentence proposes comprehensive strategies for media and information protection for high-profile figures, which is a suggested countermeasure.",Recommended Countermeasure,3
"This includes regular training on recognising and responding to misinformation, establishing clear communication channels, and leveraging technology to detect and counteract hostile influence efforts.","The sentence outlines specific recommended actions for implementing countermeasures against misinformation, which are suggested but not yet executed.",Recommended Countermeasure,3
"Additionally, societies should establish institutional support systems dedicated to protecting individuals of high relevance.","This sentence recommends establishing institutional support systems as a countermeasure to protect relevant individuals, indicating a proposed strategy.",Recommended Countermeasure,3
"These systems could provide resources, expertise, and coordinated efforts to safeguard against information threats, thereby enhancing the overall resilience of both individuals and the broader community.","The sentence suggests a possible framework for providing resources and expertise to improve resilience against information threats, making it a recommended action.",Recommended Countermeasure,3
Russian propaganda against Finland’s transition to NATO member,The sentence provides a context of disinformation without discussing any countermeasure taken or proposed.,Non-Countermeasure Related,2
"The government’s swift and decisive action to close the border had wide popular support [C00096, C00170, C00156].","The sentence describes an action already taken by the government to mitigate the situation, indicating a concrete countermeasure.",Applied Countermeasure,0
"Open sharing of information and transparency with the Finnish public helped [C00190, C00159].","This describes a completed action of sharing information transparently, functioning as a countermeasure to influence operations.",Applied Countermeasure,0
"Active reporting of the Finnish side of events has been an active countermeasure [C00159, C00030].",The sentence describes a specific action already undertaken as a countermeasure through active reporting.,Applied Countermeasure,0
"Also helpful was the government’s action to communicate with the Russian-speaking minority in Finland [C00017, C00019].","This sentence refers to a specific action taken by the government to communicate with the Russian-speaking minority, which acts as a countermeasure.",Applied Countermeasure,0
Coordinating immigrant groups to cross a national border is a harsh tactic that may in some cases have dramatic effects.,The sentence describes a tactic used in information manipulation but does not discuss any countermeasure.,Non-Countermeasure Related,2
It is very difficult to close borders without causing moral and physical harm on multiple dimensions.,"This sentence provides an analysis of the consequences of border closure, but does not describe any countermeasure.",Non-Countermeasure Related,2
From the situation we can conclude that firm and transparent political decision-making helps to contain the situation.,"The sentence evaluates the effectiveness of a countermeasure, namely firm and transparent decision-making, in containing the situation.",Countermeasure Effectiveness,1
"Also, a legislative environment should be in place to quickly escalate and de-escalate actions according to the situation.","This sentence suggests the need for a legislative framework to rapidly respond to situations, which is a proposed countermeasure.",Recommended Countermeasure,3
An EU Member State should not act alone but as a Member of a unified front.,"The sentence suggests a strategic approach of acting as part of a unified front to counteract disinformation, though it does not detail any specific action taken.",Recommended Countermeasure,3
Combating threat narratives is never completely possible.,The sentence provides a general statement about the difficulty of combating disinformation but does not suggest or describe any specific countermeasure.,Non-Countermeasure Related,2
The best defence is to have transparent public discussions about the situation and concentrate on counter narratives.,"The sentence recommends having transparent discussions and focusing on counter narratives, which are proposed actions to combat disinformation.",Recommended Countermeasure,3
It also helps to have a population with high trust in officials and the media.,"The sentence suggests that fostering trust in officials and media is beneficial in counteracting disinformation, indicating a strategic recommendation.",Recommended Countermeasure,3
"Russia Today (RT), its narratives and ideological biases",The sentence merely introduces RT's narratives and biases but does not provide information about any countermeasure or its effectiveness.,Non-Countermeasure Related,2
Much of the disinformation spread by RT has been debunked.,"The sentence describes actions taken to debunk disinformation, indicating an implemented countermeasure against RT's narratives.",Applied Countermeasure,0
"The ideological biases with which it treats information, such as its denunciation of police violence in Europe, have been contrasted with the hypocrisy exhibited by Russia within its own borders and abroad.","The sentence mentions the contrasting of RT's bias with Russia's own issues, indicating efforts to counter RT's narrative by highlighting hypocrisy.",Applied Countermeasure,0
"Following the Russian invasion of Ukraine in 2022, RT and other Kremlin-affiliated media outlets have faced suspensions in Europe.","The sentence describes the suspension of RT and other outlets in Europe, a concrete action taken to counter their influence.",Applied Countermeasure,0
Many of their websites and social media accounts have been censored.,"The sentence describes the censorship of RT's websites and social media accounts, indicating actions taken to limit the spread of disinformation.",Applied Countermeasure,0
It is still possible to access RT content in Europe through secondary routes or alternative platforms such as Odysee.,"The sentence evaluates the effectiveness of the censorship by indicating that RT content is still accessible, thus assessing the partial effectiveness of the countermeasure.",Countermeasure Effectiveness,1
"However, RT's capabilities have been severely affected by the sanctions, leading some of its subsidiaries, such as RT France, to close.","This sentence describes the impact of sanctions on RT's operations, but it does not specifically address a countermeasure against disinformation or assess the effectiveness of a countermeasure.",Non-Countermeasure Related,2
"Years after the first aggression against Ukraine in 2014, the censorship of the Russian media was under debate.",This sentence discusses general political dynamics and media debates without focusing on a specific measure taken against disinformation or its effectiveness.,Non-Countermeasure Related,2
"After the Ukrainian government censored even the social network VK and the search engine Yandex in 2017, some voices warned of the danger of playing into the Kremlin's game.","This sentence outlines an action taken by the Ukrainian government and subsequent criticisms, but does not describe a countermeasure against disinformation or analyze its effectiveness.",Non-Countermeasure Related,2
"Following the European Commission's suspension of RT in March 2022, several media organisations again criticised RT's censorship, this time on an international scale.","The sentence reports on the European Commission's action of suspending RT, which is an implemented countermeasure against disinformation by restricting a media outlet linked to misinformation.",Applied Countermeasure,0
"However, demographic studies show that respondents' perceptions of the Commission's decision are not entirely negative, having even strengthened their confidence in the European institutions.",This sentence evaluates the effectiveness of the European Commission's suspension of RT by describing the positive impact on public perception and confidence in European institutions.,Countermeasure Effectiveness,1
The academic literature advocates two recommendations in particular to tackle disinformation: empowering individuals to differentiate false content from the real one and controlling the platforms that allow the dissemination of fake news.,The sentence presents two suggested actions—empowering people to recognize disinformation and controlling dissemination platforms—which are recommended measures to counteract disinformation.,Recommended Countermeasure,3
"In the case of RT, the second measure has proven to be largely ineffective.","This sentence assesses the effectiveness of controlling platforms in the context of RT, stating that this measure has not been successful, which directly evaluates a countermeasure's impact.",Countermeasure Effectiveness,1
"Although the media outlet's content has been extensively censored from major social networks, as well as from several search engines, its content is still available online.","The sentence analyzes the effectiveness of censorship as a countermeasure, highlighting its limitation by stating that RT's content remains accessible online despite censorship efforts.",Countermeasure Effectiveness,1
"Therefore, it seems that the most useful option is to provide people with tools so that they can make a rigorous judgment of the information they may encounter on the Internet.","This sentence proposes a recommended approach—equipping people to critically assess information online—aimed at countering disinformation, but it is not yet an implemented action.",Recommended Countermeasure,3
"Sometimes, the best way to defend oneself is transparency, effective communication and the use of counter-narratives that assume the part of truth that may exist in the discourses coming from antagonistic actors of the European Union.","The sentence recommends tactics like transparency, communication, and counter-narratives as methods to counter disinformation, thus suggesting potential countermeasures not yet implemented.",Recommended Countermeasure,3
"Providing EU citizens with discursive elements so that they can evaluate different situations linked to disinformation, relying on their maturity, is one of the best leverages.","The sentence proposes a strategy to empower citizens through education to evaluate disinformation, a recommended action to mitigate disinformation effects.",Recommended Countermeasure,3
This implies being self-critical and taking seriously the relationship of trust between the European institutions and the societies of the different Member States.,"The sentence discusses the need for self-reflection and trust-building within EU institutions, not a specific countermeasure.",Non-Countermeasure Related,2
"If trust deteriorates, victims of disinformation may not begin to believe the content of a given FIMI incident, but they will equally distrust the counter-narratives of the European institutions.","The sentence discusses the implications of deteriorating trust, not an actual or proposed countermeasure.",Non-Countermeasure Related,2
A Wagner campaign targeting the French army in Mali,The sentence simply mentions a disinformation campaign without discussing any countermeasure actions or recommendations.,Non-Countermeasure Related,2
The countermeasures taken by the French army seem to have largely avoided a major impact of the FIMI.,The sentence evaluates the effectiveness of the French army's countermeasures in mitigating the impact of a disinformation campaign.,Countermeasure Effectiveness,1
"The French army took the precaution of anticipating the attack, using drone surveillance to collect possible evidence from which structure its alibi.","The sentence describes a concrete action taken by the French army, using drone surveillance to prepare evidence against the disinformation.",Applied Countermeasure,0
"Then, having a basis on which to build its defence, the French army issued an official communiqué that enabled it to refute the accusations made against it.","The sentence specifies a direct response by issuing a communiqué to refute false accusations, an applied countermeasure.",Applied Countermeasure,0
"The statement of rebuttal was followed by public condemnation, as several media echoed the army’s position.","The sentence describes the media's role in amplifying the army's rebuttal, indicating an applied countermeasure through public communication.",Applied Countermeasure,0
Twitter finally suspended the @DiaDiarra6 account.,"The suspension of the account is a direct action taken to stop the spread of disinformation, an applied countermeasure.",Applied Countermeasure,0
"Days before the publication of the images by the French army, other Twitter users already accused @DiaDiarra6 of being a Russian troll.",The sentence comments on public perception and accusations without directly addressing a countermeasure or its recommendation.,Non-Countermeasure Related,2
"In some posts, other users were invited to point to the account, with the goal of getting it banned.",This sentence describes behavior by social media users without detailing a specific countermeasure strategy or action against disinformation.,Non-Countermeasure Related,2
"If this was the main cause of the account's deletion, we would be looking at a case study with a certain degree of decentralisation and horizontality in the fight against disinformation, meaning that the process of content removal can also rely on collective user actions and community-driven efforts rather than centralised or top-down interventions by platform authorities.",This sentence theorizes about the nature of disinformation countermeasures but does not discuss a specific countermeasure or its effectiveness.,Non-Countermeasure Related,2
"When a FIMI attack originates from the physical domain, the presence of field operatives becomes crucial.",This sentence discusses the strategic importance of field operatives without detailing an actual implemented countermeasure or proposal.,Non-Countermeasure Related,2
"Preventive surveillance measures, like those implemented by the French army in this case, can play a decisive role in mitigating the impact of such attacks.","This sentence describes preventive surveillance measures carried out by the French army, which is a concrete countermeasure against FIMI attacks.",Applied Countermeasure,0
The challenge here was not so much about dismantling a widespread narrative but rather about refuting a series of specific and targeted facts.,This sentence discusses the nature of the disinformation challenge without proposing or detailing a countermeasure strategy.,Non-Countermeasure Related,2
Open-source intelligence (OSINT) proved especially valuable in identifying TTPs behind the FIMI.,"This sentence evaluates the effectiveness of using open-source intelligence to identify tactics, techniques, and procedures (TTPs), indicating its utility as a countermeasure.",Countermeasure Effectiveness,1
"To counter future FIMI attacks, stakeholders should invest in and enhance OSINT capabilities, particularly in detecting automated accounts and fake profiles.",This sentence recommends investments in OSINT capabilities as a future countermeasure against FIMI attacks.,Recommended Countermeasure,3
"Analysing and tracing digital footprints, such as fake accounts and bots, OSINT becomes indispensable in countering these threats.","While emphasizing the importance of OSINT, this sentence does not directly describe a specific countermeasure or its proposal.",Non-Countermeasure Related,2
"Additionally, a coordinated effort between physical surveillance and digital intelligence gathering is essential to not only disrupt the tactics but also to prevent future dissemination of false information.",This sentence suggests a coordinated strategy involving physical and digital intelligence as a means to counter and prevent information manipulation.,Recommended Countermeasure,3
Increased training in these areas for both military and civilian personnel involved in defence against FIMI attacks can further bolster these efforts.,This sentence recommends increased training for personnel as a proposed countermeasure to enhance defense efforts against FIMI attacks.,Recommended Countermeasure,3
Russia uses bribery to spread disinformation,"The sentence describes an alleged tactic used by Russia but does not describe any countermeasure, recommendation for a countermeasure, or assess the effectiveness of a countermeasure.",Non-Countermeasure Related,2
"Over the past century, various measures have been implemented to combat FIMI.","The sentence implies that various measures have been taken over time to combat foreign information manipulation and interference (FIMI), which qualifies as applied countermeasures.",Applied Countermeasure,0
One of the earliest initiatives was the enactment of the Foreign Agents Registration Act (FARA) in 1938 in response to congressional investigations into communist and Nazi propaganda in the United States.,"The enactment of the Foreign Agents Registration Act (FARA) is a specific action taken to combat disinformation and influence, making it an applied countermeasure.",Applied Countermeasure,0
"FARA mandated that representatives of foreign sponsors register, which would expose their activities to public scrutiny.","This describes a specific function of FARA designed to counteract foreign influence by ensuring transparency, thus classifying it as an applied countermeasure.",Applied Countermeasure,0
"The scope of FARA was further refined in the 1960s through significant amendments, shifting its focus more towards foreign sponsorship of political lobbying rather than propaganda.","The sentence describes an amendment process to refine FARA, indicating continued action taken to address foreign influence, thereby classifying it as an applied countermeasure.",Applied Countermeasure,0
This legislative evolution demonstrated an ongoing effort to address the changing nature of foreign influence tactics.,"This sentence reflects on the effectiveness and adaptability of the legislation in evolving to meet the changing nature of tactics, directly assessing the countermeasure's evolution.",Countermeasure Effectiveness,1
"The European Commission is currently pushing forward with plans for a new directive, as part of the Defence of Democracy Package modelled after the US Foreign Agents Act, specifically targeting Russian and Chinese influence.","This sentence describes a proposed legislative action by the European Commission, which has not yet been implemented, thus it is a recommended countermeasure.",Recommended Countermeasure,3
This legislation aims to safeguard democracies by imposing transparency obligations on entities seeking to shape public opinion and influence democratic processes.,"The sentence outlines the goals of the proposed legislation, which is intended to act as a countermeasure against foreign influence, thus classifying it as a recommended countermeasure.",Recommended Countermeasure,3
"Through enhancing transparency and accountability, such measures seek to mitigate the risk of undue foreign influence on European political systems.","This sentence discusses the intended mitigation effects of the proposed legislative measures, confirming it corresponds to a recommended countermeasure.",Recommended Countermeasure,3
"At the time of the Voice of Europe scandal, the European Union and its Member States already had several countermeasures in place to address foreign interference, disinformation and attempts to influence democratic processes.","The sentence notes pre-existing countermeasures by the EU and its member states, indicating actions that had already been implemented.",Applied Countermeasure,0
"Many EU Member States, such as Czechia and Germany, had existing counterintelligence measures focused on identifying and neutralising foreign influence networks.","The sentence describes existing counterintelligence measures focused on neutralizing foreign influence, which indicates actions that have already been implemented.",Applied Countermeasure,0
"For example, Czechia’s BIS (Security Information Service) actively monitors pro-Russian influence operations, which helped uncover the Voice of Europe network.",Describes a specific action taken by Czechia's BIS to monitor and uncover pro-Russian influence operations.,Applied Countermeasure,0
Sanctions lists also allow EU countries to freeze assets and restrict travel for individuals and entities involved in such activities.,"Describes an existing tool (sanctions lists) that EU countries use to freeze assets and restrict travel, indicating a countermeasure already in place.",Applied Countermeasure,0
"The EU developed several frameworks to combat disinformation, including the EU Cybersecurity Strategy and initiatives through the European Centre of Excellence for Countering Hybrid Threats.",Mentions the development of frameworks and initiatives that have already been put in place to combat disinformation.,Applied Countermeasure,0
"These bodies help coordinate responses to foreign interference across EU institutions and Member States, building resilience against cyberattacks and disinformation campaigns targeting elections.","Highlights the role of established bodies in coordinating responses and building resilience, indicating a measure that is currently functioning.",Applied Countermeasure,0
"The EU established the East StratCom Task Force, part of the European External Action Service (EEAS), to identify and expose pro-Russian disinformation targeting EU Member States.","Describes the establishment of the East StratCom Task Force, a specific initiative aimed at exposing disinformation, which has been implemented.",Applied Countermeasure,0
"Additionally, guidelines were put in place to prevent media outlets on EU-sanctioned lists from accessing parliamentary resources and influencing legislative proceedings.","Refers to guidelines that were put in place to limit media access, indicating actions that have already been taken.",Applied Countermeasure,0
European countries like Belgium and Germany coordinate with EU intelligence agencies and local enforcement to investigate and respond to foreign-funded activities.,"Describes ongoing coordination efforts between European countries and EU intelligence agencies, indicating an implemented collaborative measure.",Applied Countermeasure,0
"This cooperative framework enabled rapid actions, such as intelligence-sharing between Belgium and Czechia, when Voice of Europe’s influence network was exposed.","Highlights a specific instance of intelligence-sharing enabled by an existing cooperative framework, indicating an action that was carried out.",Applied Countermeasure,0
"EU parliamentary bodies have protocols for investigating corruption, including the Office of the European Anti-Fraud Office (OLAF), which can launch inquiries into bribery and misconduct among EU officials.",Mention of established protocols and the role of OLAF in launching investigations indicates measures that are in place and in use.,Applied Countermeasure,0
This framework allows for internal transparency and accountability measures if MEPs or candidates are suspected of unethical behaviour.,The sentence describes a framework for transparency and accountability without directly addressing disinformation or how to counteract it.,Non-Countermeasure Related,2
The European Parliament has agreed a regulation harmonising political advertising requirements and banning foreign sponsorship of political ads before elections.,The sentence describes an agreed-upon regulation aiming to counteract disinformation by banning foreign sponsorship of political ads.,Applied Countermeasure,0
The implementation of these rules is pending until after the upcoming EU elections.,This sentence provides a timeline on the implementation status but does not describe an action taken nor evaluate its effectiveness against disinformation.,Non-Countermeasure Related,2
"These regulations include provisions for clear labelling of political ads, improved access to financing information and the establishment of a public repository for online political ads and related data.","While not yet implemented, the sentence describes recommended provisions aiming to increase transparency and counteract potential disinformation.",Recommended Countermeasure,3
"By prohibiting third-country organisations from sponsoring political advertising close to election periods, the EU aims to mitigate the spread of disinformation and safeguard the integrity of democratic processes.","The sentence outlines a planned action (prohibition) intended to counter disinformation, aiming to protect election integrity.",Recommended Countermeasure,3
The European Parliament has also passed a resolution denouncing Russia’s FIMI campaign in the wake of the Voice of the Europe scandal.,This sentence describes a definitive action of passing a resolution to denounce a disinformation campaign.,Applied Countermeasure,0
"The resolution urges the Council to incorporate Kremlin-backed media outlets, as well as other broadcasting and media organisations, along with individuals responsible for propaganda and disinformation campaigns, into the forthcoming 14th Russian sanctions package.","The resolution is urging future action (sanctions) rather than describing an action already in effect, hence it is recommended.",Recommended Countermeasure,3
"MEPs advocate for aligning these sanctions with those imposed by the Czech government against Voice of Europe, as well as targeting Ukrainian pro-Russian oligarch Viktor Medvedchuk and his associate Artem Marchevskyi.",The advocacy for specific alignment of sanctions represents suggested actions rather than actions taken.,Recommended Countermeasure,3
"Additionally, the resolution expresses concern over Voice of Europe's ability to resume operations from Kazakhstan and urges EU Member States to take measures to prevent its access within the EU.","The sentence describes recommended measures to counter potential disinformation sources, urging proactive steps.",Recommended Countermeasure,3
"Similarly individual Member States, such as Belgium, have initiated an investigation into Russian interference through Voice of Europe in the European elections, emphasising the responsibility of local authorities to uphold citizens' rights to free and fair elections.",The initiation of an investigation by Belgium is an action taken to counteract potential disinformation activities.,Applied Countermeasure,0
"Furthermore, a Munich court specialising in bribery and corruption has initiated a preliminary investigation following allegations that Petr Bystron, one of the top candidates for the Alternative for Germany party in the election, received bribes.",The initiation of a preliminary investigation by a Munich court is a concrete legal action taken to address alleged bribery as part of counteracting foreign influence and corruption.,Applied Countermeasure,0
"By taking decisive action against FIMI, European institutions and Member States aim to reinforce democratic principles and preserve the integrity of electoral processes.","The sentence describes the aim and intention behind taking action against FIMI but does not mention any specific, implemented action.",Recommended Countermeasure,3
Russia's ongoing use of bribery as part of its FIMI campaigns illustrates the lengths to which the Kremlin is willing to go to influence foreign political landscapes.,This sentence discusses Russia's tactics and intentions without mentioning a specific countermeasure or response to it.,Non-Countermeasure Related,2
"By covertly funding far-right European politicians and media outlets like Voice of Europe, Russia seeks to amplify pro-Russian narratives, distort public discourse, and shift attention away from its aggression in Ukraine.",This sentence analyzes Russia's strategy of media influence but does not reference any countermeasure addressing this behavior.,Non-Countermeasure Related,2
"The vulnerabilities of democratic systems—especially during election periods—have been exploited, demonstrating the effectiveness of strategic corruption.",This sentence provides an analysis of the situation and effectiveness of Russian tactics without mentioning any countermeasures or responses.,Non-Countermeasure Related,2
"The FIMI campaigns target political figures and media alike, resulting in a potent disinformation network that impacts both the European Parliament and public opinion across several nations.",The sentence describes the impact and spread of FIMI campaigns without addressing any specific countermeasures taken against these activities.,Non-Countermeasure Related,2
Voice of Europe,This is an incomplete sentence or a placeholder that does not provide any context or information related to countermeasures.,Non-Countermeasure Related,2
"While countermeasures such as sanctions, legislative initiatives like the European Commission's Defence of Democracy Package, and investigations by Member States have been implemented, the persistence of Russian influence highlights the need for robust, proactive strategies.","The sentence lists specific countermeasures that have been implemented to combat Russian influence, such as sanctions and legislative initiatives, indicating concrete actions taken.",Applied Countermeasure,0
"To combat the escalating threat posed by Russia's alleged bribery and disinformation campaigns, several key steps should be considered:","The sentence introduces a proposal for future actions to address the problem, indicating it's a recommendation rather than a currently implemented measure.",Recommended Countermeasure,3
"Stronger legislative frameworks: The EU should expedite the implementation of legislation modeled after the US Foreign Agents Registration Act (FARA), requiring foreign-funded entities to register, thereby increasing transparency.","This sentence proposes a specific legislative action to be implemented by the EU to enhance transparency, marking it as a suggested course of action.",Recommended Countermeasure,3
"Moreover, swift enforcement of upcoming regulations on political advertising will help to curb foreign interference.","The sentence suggests a future action (swift enforcement of upcoming regulations) that will help curb foreign interference, indicating it is a proposed action.",Recommended Countermeasure,3
"Increased sanctions: Further sanctions should target individuals and entities involved in Russian FIMI efforts, particularly focusing on those responsible for running disinformation networks like Voice of Europe.","The sentence recommends further sanctions as a countermeasure that should be implemented, implying it is a suggested action yet to be executed.",Recommended Countermeasure,3
"EU-wide alignment on sanctions, including those targeting oligarchs like Viktor Medvedchuk, is critical.","This sentence suggests aligning sanctions at the EU level, which is a recommendation for improving the effectiveness against specific targets.",Recommended Countermeasure,3
"Enhanced intelligence sharing: European countries should deepen their cooperation in intelligence-sharing mechanisms to swiftly detect and disrupt foreign interference efforts, particularly ahead of elections.","This sentence proposes enhanced cooperation in intelligence sharing as a means to counter foreign interference, indicating it is a recommended action.",Recommended Countermeasure,3
"Public awareness campaigns: Educating the public about the disinformation tactics used by foreign adversaries will empower citizens to critically evaluate the information they consume, particularly during politically sensitive periods.","The sentence recommends public awareness campaigns as a strategy to combat disinformation, suggesting it is a proposed action.",Recommended Countermeasure,3
Russian interference in the Spanish election in July 2023,This sentence is a headline or a statement of fact regarding Russian interference without any mention of countermeasures or their evaluation.,Non-Countermeasure Related,2
"Spain profited from bigger EU programs like the Rapid Alert System and coordinated Member State efforts to detect and neutralise FIMI risks to combat misinformation, even though particular countermeasures for this operation are not documented.","This sentence describes the use of EU programs and Member State efforts as part of a strategy to combat misinformation, categorizing it as an action already taken.",Applied Countermeasure,0
The response of fact-checkers and the media's disclosure of the misinformation case also significantly reduced the disinformation's possible influence on the electorate.,"This sentence evaluates the effectiveness of fact-checkers and media efforts in reducing the impact of disinformation, discussing the impact of the countermeasures.",Countermeasure Effectiveness,1
The impact of the disinformation effort was diminished when media outlets exposed the phoney website posing as the Community of Madrid and fact-checkers promptly refuted misleading claims.,"This sentence describes actions already taken by media outlets and fact-checkers to expose and refute misleading claims, thereby mitigating the disinformation effort.",Applied Countermeasure,0
The FIMI operation targeting the Russian-speaking community in Spain in the frame of the July 2023 general elections can be seen as a premeditated endeavour to hurt the democratic processes in place in the country.,The sentence provides an analysis of the FIMI operation's intent without describing any countermeasure or its recommendation or effectiveness.,Non-Countermeasure Related,2
"Using a couple of already described tools, the operation presented the main objectives of weakening trust within a specific community.",This sentence discusses the objectives and tools of the influence operation but does not address any countermeasure or its effectiveness.,Non-Countermeasure Related,2
"However, it is important to underline here that the overall impact of the campaign on the broader electorate was limited due to its specific narrow focus.","This sentence assesses the effectiveness of the campaign, stating that its impact was limited, which implicitly suggests that potential countermeasures or inherent limitations of the campaign led to this outcome.",Countermeasure Effectiveness,1
